Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
BBB,Nokia Corporation,NOK,Standard & Poor's Ratings Services,8/2/2011,Technology,1.459241,1.068390277,0.600149048,164.1448522,-0.072833166,-0.068261523,0.348196393,-0.075588677,-0.032122635,-0.058099248,-0.09795334,0.441044055,8.668838219,1.877284595,0.6156332,-0.066972477,0.673990499,0.303074318,3.059047914,3.049355681,-0.068261523,-15.20082644,0.449671499,0.105460922,1.881417209
BBB,LyondellBasell Industries NV,LYB,Standard & Poor's Ratings Services,10/14/2014,Basic Industries,2.141806143,1.075961008,0.189626632,25.81761972,0.091519032,0.125241186,0.146224347,0.125767409,0.171889799,0.303088188,0.502044744,1.878186386,5.20758164,1.920736108,0.657620558,0.269607843,0.752149471,8.781853282,5.065637066,2.920736108,0.125241186,6.89278524,11.67567568,0.132608314,17.39124609
BBB,ENI S.p.A.,E,Moody's Investors Service,9/14/2016,Energy,1.370992201,1.071309936,0.204867129,113.2669818,-0.025699822,0.008449015,0.236625333,0.038047025,-0.011698583,0.069293436,-0.027471388,0.455200931,0.800827765,1.347342421,0.573760488,4.041753653,-0.179199791,-0.378351646,3.323440855,2.348266305,0.118374402,8.807597036,2.111339765,0.135342988,2.591031551
B,Chesapeake Energy Corporation,CHK,Egan-Jones Ratings Company,11/17/2015,Energy,0.672998643,0.629579376,0.223880597,32.28494202,-1.15050141,-1.496239423,1.0,-1.482215606,-0.846056346,-1.396869514,-6.868568756,0.735380538,0.892712267,7.118334892,0.876822031,0.233689392,-1.917341977,-3.574018127,1.799093656,8.118334892,-1.496239423,-0.728231276,1.864048338,0.096678157,0.0
BBB,Seagate Technology PLC,STX,Fitch Ratings,6/15/2012,Technology,1.855327751,1.34161132,0.773029165,49.73794549,0.04657734,0.009114939,0.195606599,0.073466411,0.055392954,0.017355085,0.207470564,1.189268293,4.886859688,2.7454324,0.73300813,0.68,0.33306962,0.933481153,6.986696231,3.7454324,0.009114939,4.550891026,2.802660754,0.115212834,4.277750848
BBB,Laboratory Corporation of America Holdings,LH,Moody's Investors Service,8/20/2012,Health Care,1.353232863,1.228293632,0.453864852,46.24122792,0.10281412,0.107327997,0.396674542,0.180466904,0.085813098,0.105557964,0.214580113,0.83464312,8.990805327,1.500551998,0.6000883,0.59043864,0.790468267,6.94984326,5.692789969,2.500551998,0.107327997,8.597591159,8.792058516,0.14835843,14.44364711
BBB,Devon Energy Corporation,DVN,Moody's Investors Service,6/15/2012,Energy,1.380973583,1.252151974,0.824428614,43.94403702,0.410686223,0.374541645,1.0,0.374541645,0.114405234,0.12478548,0.219505366,0.278570907,0.46233955,0.918665422,0.478804387,-0.033333333,-0.210475578,-3.17961165,17.13106796,1.918665422,0.374541645,4.717699602,15.10679612,0.543390955,0.0
AA,American States Water Company,AWR,Egan-Jones Ratings Company,9/1/2015,Public Utilities,1.074408738,0.201737553,0.03533403,15.07300917,0.131876566,0.214143524,1.0,0.258348033,0.044849474,0.080169424,0.129809312,0.340086757,0.432356329,1.894333022,0.654497256,0.384167388,0.082211362,0.209205916,0.159833106,2.894333022,0.214143524,12.52737663,2.544732408,0.207449835,0.0
A,PACCAR Inc.,PCAR,Egan-Jones Ratings Company,8/7/2013,Capital Goods,1.930977971,1.150087659,0.667009681,0.0,0.068401873,0.098985038,0.188223408,0.098985038,0.056514921,0.093637614,0.176552161,0.826218909,6.813273386,2.123991981,0.679896746,0.308967552,0.785073873,5.265669113,8.519480519,3.123991981,0.098985038,9.783290099,6.707227555,0.138736729,6.450440835
B,Oshkosh Corporation,OSK,Moody's Investors Service,2/6/2014,Capital Goods,1.849351778,0.545737669,0.531252263,0.0,0.041486739,0.041264954,0.155483947,0.065974351,0.066726819,0.093441654,0.150868204,1.608389114,21.16261734,1.260983015,0.557714502,0.416376857,0.894977169,4.468413226,8.589156545,2.260983015,0.041264954,7.666550989,4.992767839,0.057142112,12.17472259
BBB,Stryker Corporation,SYK,Moody's Investors Service,3/3/2016,Health Care,2.267770482,1.638880959,0.96460177,60.99235874,0.144681279,0.174441987,0.663784436,0.187110396,0.088570198,0.136142498,0.169075314,0.612174555,8.295246038,0.90894137,0.476149443,0.170605187,0.699666296,1.670207116,10.83112055,1.90894137,0.174441987,16.82147476,2.387148168,0.090388096,8.156097561
BBB,AGCO Corporation,AGCO,Standard & Poor's Ratings Services,8/12/2015,Capital Goods,1.326210305,0.757527226,0.195250297,40.90260201,0.035675545,0.037416469,0.208991202,0.048357505,0.04097642,0.064737366,0.093859,1.148585667,5.543241036,1.290561251,0.563425776,0.25948461,0.59671881,3.595402299,9.410344828,2.290561251,0.037416469,7.756883825,6.025287356,0.070199403,9.44165601
BB,CMS Energy Corporation,CMS,Moody's Investors Service,6/15/2012,Public Utilities,1.097091531,1.03635586,0.068862275,48.77518069,0.0638167,0.093187759,1.0,0.154236506,0.025224897,0.042936092,0.137054161,0.395271092,0.440851468,4.4332893,0.815949429,0.315181518,0.245508982,1.144338118,6.196172249,5.4332893,0.093187759,8.005766301,4.66108453,0.179763186,2.629565217
BBB,AGCO Corporation,AGCO,Egan-Jones Ratings Company,8/2/2013,Capital Goods,1.606365576,0.792674253,0.372403983,31.82740176,0.05536345,0.051979716,0.22162067,0.08349943,0.070768356,0.099648113,0.148920253,1.278250462,6.732135056,1.104333948,0.524790255,0.461030854,0.508406524,4.164439877,13.24152107,2.104333948,0.051979716,4.517256992,8.191161357,0.073885917,8.743413517
A,"Air Products and Chemicals, Inc.",APD,Egan-Jones Ratings Company,11/18/2014,Basic Industries,1.1119811,0.697198785,0.11360108,51.95804196,0.094999521,0.129753808,0.268646422,0.127234409,0.055778976,0.091420819,0.134635749,0.587150081,1.095141679,1.413736458,0.585704563,0.27021041,0.229692645,2.361071932,2.725905031,2.413736458,0.129753808,13.49461249,10.27926657,0.209445349,4.798617222
BB,Transocean Ltd.,RIG,Egan-Jones Ratings Company,5/26/2015,Energy,1.591777188,0.708488064,0.698938992,1.432308698,-0.20852409,-0.196206671,1.0,-0.150207107,-0.067328336,-0.073043055,-0.139931241,0.322880372,0.425944842,1.078341014,0.518847007,-0.081111111,0.024774775,0.151933702,7.279005525,2.078341014,-0.196206671,-53.86129032,6.132596685,0.241988228,0.0
A,Chemed Corp.,CHE,Egan-Jones Ratings Company,5/19/2014,Health Care,0.617210552,0.600718159,0.231926503,23.70010804,0.054641913,0.087615127,0.286218566,0.094382837,0.08641257,0.233765327,0.172039921,1.581433835,15.20444301,0.990913141,0.497717917,0.376341568,0.805604354,6.677454805,6.971976482,1.990913141,0.087615127,9.851482347,8.288752129,0.106731695,24.15843671
BB,Silgan Holdings Inc.,SLGN,Egan-Jones Ratings Company,11/11/2013,Consumer Durables,1.745163287,0.795645669,0.25870447,32.77858298,0.049996522,0.068210806,0.147563528,0.087414973,0.055829094,0.093660606,0.259739186,1.116659571,3.315786321,3.652398357,0.785057099,0.27397504,0.705918079,3.852974134,2.497323124,4.652398357,0.068210806,6.086496233,5.458103776,0.094567426,8.976001726
AA,American States Water Company,AWR,Egan-Jones Ratings Company,6/3/2015,Public Utilities,2.10948736,0.971910565,0.765313727,14.74289971,0.131084542,0.212769246,1.0,0.255575999,0.044299564,0.077486615,0.120477268,0.337946511,0.464157167,1.719603947,0.632299401,0.383912175,0.555625651,2.346655285,2.009596979,2.719603947,0.212769246,11.0855066,4.223446635,0.350522015,0.0
A,Parker-Hannifin Corporation,PH,Standard & Poor's Ratings Services,6/6/2014,Capital Goods,1.571269043,1.287316385,0.50605377,57.84565514,0.072867899,0.100724556,0.225038077,0.100724556,0.075626721,0.145332594,0.165276506,1.037860606,7.197995841,1.185424714,0.542423039,0.276290407,0.776733407,6.199234722,16.54536147,2.185424714,0.100724556,9.926205132,7.981161447,0.091499853,8.725482309
BB,"Amkor Technology, Inc.",AMKR,Standard & Poor's Ratings Services,5/18/2016,Technology,1.293950799,1.032539305,0.513828542,66.57491343,0.019694911,0.023412234,0.166145913,0.057144432,0.014092724,0.022413674,0.047034357,0.715551559,1.118489331,2.337492125,0.700373825,0.415118087,0.06915883,0.168756597,2.217318978,3.337492125,0.023412234,3.711138422,2.440130885,0.200355127,5.539419928
BBB,Flex Ltd.,FLEX,Fitch Ratings,6/15/2012,Technology,1.325858908,0.641111178,0.256038756,33.46647681,0.020788722,0.0220495,0.055262557,0.021464387,0.051251716,0.131629665,0.259824831,2.465361494,13.39518034,4.069583073,0.80274512,0.030643065,1.0,1.102955687,2.24937252,5.069583073,0.0220495,5.417068102,1.102955687,0.029893523,5.331669191
D,California Resources Corporation,CRC,Standard & Poor's Ratings Services,8/24/2016,Energy,0.585399449,0.389807163,0.016528926,54.73820297,0.180349063,0.129928895,1.0,-0.197802198,0.043909348,0.035714286,-0.500897666,0.243468681,0.262871708,-12.40754039,1.087661316,-0.388059701,0.423076923,1.361386139,1.262376238,-11.40754039,0.129928895,20.81823129,3.217821782,0.084033613,3.652968037
B,Entravision Communications Corporation,EVC,Moody's Investors Service,6/15/2012,Consumer Services,2.732216314,2.583249724,1.472835357,83.12182349,-0.042181938,-0.012397374,1.0,0.179905965,-0.017546825,-0.005638047,14.61675579,0.415979594,2.980345261,-834.0142602,1.00120046,-2.402489627,0.515984328,0.106841694,0.69039699,-833.0142602,-0.012397374,8.346950573,0.207063836,0.090593428,0.0
BBB,Duke Energy Corporation,DUK,Moody's Investors Service,8/10/2016,Public Utilities,0.69595706,0.290104753,0.033936456,12.05271952,0.094622521,0.164182386,1.0,0.23484149,0.01620958,0.030806039,0.052445593,0.171307839,0.275605914,2.235469013,0.690925799,0.309587574,-0.162253604,-1.596237337,3.762662808,3.235469013,0.164182386,10.93080143,9.837916064,0.298905158,2.212758851
B,Lattice Semiconductor Corporation,LSCC,Moody's Investors Service,9/29/2015,Technology,6.558818688,5.222006387,1.903187041,62.18000858,0.132686199,0.11728444,0.563157047,0.113665477,0.095156014,0.09547027,0.110164975,0.717150804,13.17193121,0.15773003,0.136240769,-0.131319718,0.744105478,0.253636116,2.165052503,1.15773003,0.11728444,11.22047726,0.340860434,0.109584925,4.971558236
BBB,Chesapeake Energy Corporation,CHK,Egan-Jones Ratings Company,3/21/2014,Energy,0.662919311,0.641160471,0.151767906,46.32868731,0.041357249,0.082371758,1.0,0.11818805,0.017328036,0.039760664,0.045264145,0.418984252,0.471427802,1.61219131,0.617179647,0.380027739,-0.558300824,-3.944869832,2.012251149,2.61219131,0.082371758,5.776365648,7.065849923,0.263566777,0.0
BB,"QEP Resources, Inc.",QEP,Standard & Poor's Ratings Services,2/9/2016,Energy,1.452306733,1.248441397,0.586034913,163.5679768,-0.240657216,-0.391430412,-0.009664948,-0.608247423,-0.017731885,-0.031218284,-0.037842904,0.073681087,0.084066842,1.134172598,0.531434336,0.385185185,-1.57510908,-4.292751982,2.960362401,2.134172598,-0.391430412,8.057312144,2.725368063,0.775289948,1.782200739
CCC,MGIC Investment Corporation,MTG,Moody's Investors Service,6/15/2012,Finance,11.29242917,11.29242917,1.632601902,17.24523509,-0.32300657,-0.321947591,1.0,-0.321947591,-0.06733322,-0.073308837,-0.405987559,0.20845774,53.44746847,5.029528373,0.834149549,-0.00328929,1.0,-9.371507171,33.91071988,6.029528373,-0.321947591,-0.785391305,-9.371507171,-1.252328192,0.0
BB,Transocean Ltd.,RIG,Moody's Investors Service,10/19/2015,Energy,1.792806294,0.889846384,0.876358187,1.77904143,0.107094503,0.139453019,1.0,0.186839968,0.030042918,0.04353339,0.05455925,0.280527175,0.354789125,0.816043592,0.449352425,0.2,0.4191582,3.977961433,6.443526171,1.816043592,0.139453019,4.212663274,9.490358127,0.466422962,0.0
BBB,FirstEnergy Corp.,FE,Moody's Investors Service,3/1/2013,Public Utilities,0.495463511,0.260092045,0.0226167,38.49637326,0.050316931,0.086518983,1.0,0.142194341,0.015275959,0.030933857,0.058850504,0.30359481,0.465094368,2.852491593,0.740427727,0.417673716,-0.155172414,-0.861244019,0.870813397,3.852491593,0.086518983,8.880766807,5.550239234,0.151604261,1.545340838
A,Comcast Corporation,CCZ,Moody's Investors Service,8/5/2014,Consumer Services,0.777197013,0.622228604,0.224583573,33.54656489,0.121846601,0.181243184,1.0,0.216706652,0.052592272,0.087825603,0.158980099,0.431626909,2.2219171,2.022879475,0.669189589,0.310709988,0.495898495,3.253193961,1.746806039,3.022879475,0.181243184,7.725437334,6.560201316,0.246383133,0.0
BBB,HP Inc.,HPQ,Moody's Investors Service,11/28/2012,Technology,1.085094073,0.611708739,0.242167745,49.75659912,-0.105103982,-0.0265211,0.505903271,-0.091868358,-0.116302589,-0.051399311,-0.563825994,1.106547882,10.06834532,3.847922981,0.793726096,-0.22462406,0.64941822,3.477710233,6.149442756,4.847922981,-0.0265211,-4.827507548,5.355116515,0.087830371,4.454531835
A,Accenture plc,ACN,Standard & Poor's Ratings Services,9/22/2016,Miscellaneous,1.348837089,1.011458596,0.552500393,42.71395425,0.118165758,0.161033007,0.295348213,0.13824047,0.1995192,0.477709615,0.544242145,1.688468836,36.3786023,1.727768276,0.633399945,0.223780296,0.891463712,6.527790062,7.856115759,2.727768276,0.161033007,12.89885538,7.322552758,0.131477659,19.14415363
BBB,Crane Co.,CR,Moody's Investors Service,6/15/2012,Capital Goods,1.936300284,1.233078532,0.459747325,50.07184193,0.010336361,0.008034198,0.338892016,0.016601024,0.009254339,0.008852875,0.032345772,0.895318883,8.959714372,2.495200681,0.713893395,-0.296372348,0.768129389,1.979955265,5.301066758,3.495200681,0.008034198,28.19947912,2.577632485,0.058845179,8.668677057
A,ManpowerGroup,MAN,Egan-Jones Ratings Company,10/26/2015,Technology,1.475659229,1.441176471,0.211677775,80.11914185,0.02168661,0.034180208,0.170502693,0.035639088,0.055763219,0.162473872,0.159713491,2.571320253,131.4065262,1.864136854,0.650854672,0.365521417,0.897751711,5.979166667,9.51171875,2.864136854,0.034180208,7.811479259,6.66015625,0.026461596,9.664918626
BBB,Kellogg Company,K,Egan-Jones Ratings Company,1/6/2014,Consumer Non-Durables,0.851890482,0.442503259,0.071186441,35.13791239,0.122160627,0.122904273,0.412587885,0.191792861,0.116776528,0.156198986,0.509732017,0.95592607,3.836099585,3.365021157,0.770906036,0.435643564,0.647482014,3.223140496,0.752066116,4.365021157,0.122904273,8.333386762,4.977961433,0.122160627,6.06773743
A,Biogen Inc.,BIIB,Standard & Poor's Ratings Services,4/17/2013,Health Care,1.957498813,1.44357058,0.344349456,45.44571601,0.250166366,0.336285347,0.901121208,0.336420216,0.136230693,0.218950116,0.198237225,0.544560389,3.166329167,0.455158304,0.312789545,0.253653567,0.861065792,6803.095764,7168.71622,1.455158304,0.336285347,0.273218206,7900.785078,0.340779532,2.674003304
BBB,Canadian Pacific Railway Limited,CP,Standard & Poor's Ratings Services,3/12/2014,Transportation,1.472423803,1.064586357,0.643686502,34.51818034,0.142670797,0.183433882,0.619272787,0.231534323,0.051289566,0.089465629,0.123291532,0.359495897,0.460193592,1.403832605,0.583997655,0.222222222,0.403589744,4.524554027,5.099465594,2.403832605,0.228762433,15.56383079,11.21077554,0.317952063,1.963835156
BBB,"General Mills, Inc.",GIS,Standard & Poor's Ratings Services,9/25/2012,Consumer Non-Durables,0.960501665,0.472652998,0.122606162,29.4775752,0.09408749,0.1326998,0.362872871,0.153824912,0.074290888,0.12811819,0.244063099,0.789593682,4.560434747,2.285235997,0.695607865,0.321013345,0.718609492,2.663323561,0.727048295,3.285235997,0.1326998,10.0379893,3.706218176,0.144195847,9.237705631
CCC,Tenet Healthcare Corporation,THC,Standard & Poor's Ratings Services,6/26/2013,Health Care,1.520703347,0.971639251,0.206466251,53.83539862,0.015462222,0.036626823,1.0,0.082136199,0.015590447,0.04587282,0.12335958,1.008292791,2.124155602,6.912510936,0.873617868,0.374251497,1.0,5.690978887,3.531669866,7.912510936,0.036626823,7.418049958,5.690978887,0.06502906,0.0
A,Edison International,EIX,Egan-Jones Ratings Company,9/17/2015,Public Utilities,0.538664502,0.20519586,0.032677085,24.41990628,0.088510934,0.09389101,1.0,0.174245054,0.020274299,0.023841527,0.076187631,0.229059829,0.328459456,2.757842844,0.733889883,0.449168207,0.062985141,0.871165644,0.736196319,3.757842844,0.09389101,8.715425384,13.83128834,0.391270392,3.25648855
AA,3M Company,MMM,Moody's Investors Service,6/15/2012,Health Care,2.249586473,1.387061202,0.407829443,47.66657661,0.144642194,0.20367431,0.47002803,0.208638682,0.135469383,0.230410697,0.277756161,0.936582743,3.86264023,1.050324254,0.512272267,0.277565909,0.739023467,5.511644319,5.194071983,2.050324254,0.20367431,8.743915565,7.45800988,0.178447199,9.55143031
B,"Genesis Energy, L.P.",GEL,Moody's Investors Service,5/14/2015,Energy,0.978578805,1.175701166,0.026055708,25.76803407,0.027612447,0.028352145,1.0,0.034463169,0.032876069,0.038032191,0.046583053,1.190624986,2.358161644,0.416928892,0.294248282,0.026089668,-0.523710377,-1.6925161,1.7257495,1.416928892,0.028352145,23.49527049,3.231778814,0.07567384,0.0
BBB,FMC Corporation,FMC,Moody's Investors Service,6/15/2012,Basic Industries,2.032177411,0.203174258,0.172736167,0.0,0.108321738,0.122561355,0.345599337,0.173865419,0.097742754,0.146621334,0.294937933,0.902337385,3.423084718,2.017491536,0.668598905,0.329710145,0.554746241,3.324041223,2.631356648,3.017491536,0.122561355,4.901649083,5.992003154,0.125995441,4.823259873
BB,Darling Ingredients Inc.,DAR,Moody's Investors Service,6/15/2012,Consumer Non-Durables,1.726270461,1.254272849,0.305963523,19.45726775,0.09426518,0.151505996,0.2947004,0.175048644,0.119558513,0.21111777,0.184074969,1.268321066,4.4906302,0.539622437,0.35049011,0.377812218,0.750261558,1.572439177,0.555219101,1.539622437,0.151505996,4.983370183,2.095854652,0.134018158,20.98604351
A,Lear Corporation,LEA,Egan-Jones Ratings Company,11/9/2015,Capital Goods,1.376862173,0.987134076,0.311647047,51.90979277,0.040935897,0.056640346,0.09992642,0.056640346,0.079259606,0.185314937,0.254662841,1.936188309,9.970654257,2.213021794,0.688766506,0.276781386,0.617811345,10.2313526,15.63691505,3.213021794,0.056640346,6.327554451,16.56064216,0.06979694,6.545120588
A,TE Connectivity Ltd.,TEL,Egan-Jones Ratings Company,5/1/2014,Technology,1.607798165,0.949541284,0.357543323,63.84751506,0.096084337,0.093975904,0.325978916,0.117168675,0.069118683,0.0858499,0.152267303,0.719354315,4.194567277,1.202983294,0.546070094,-0.023237179,0.69941349,3.423444976,3.35645933,2.202983294,0.093975904,11.10300509,4.894736842,0.154066265,6.472161967
BB,"NRG Energy, Inc.",NRG,Standard & Poor's Ratings Services,9/11/2012,Public Utilities,1.701090443,0.801582211,0.446226213,42.73213014,0.066373783,0.029921634,0.277250059,0.041557825,0.015913232,0.00827559,0.0530713,0.239751765,0.415531873,2.335042248,0.700153724,-1.297619048,-1.956483899,-9.689655172,11.90948276,3.335042248,0.029921634,12.74968338,4.952586207,0.136428402,5.202564103
BB,Masco Corporation,MAS,Fitch Ratings,2/18/2015,Capital Goods,1.747173225,0.774762551,0.62550882,1.028048351,0.100457693,0.067480343,0.28013144,0.092477409,0.119436305,0.116020985,0.926406926,1.188921446,7.481123793,6.756493506,0.871075764,-0.579130435,0.787375415,1.358166189,4.839541547,7.756493506,0.067480343,10.1148377,1.724928367,0.070648985,6.456842105
BBB,Edgewell Personal Care,EPC,Standard & Poor's Ratings Services,8/18/2014,Consumer Non-Durables,1.734511025,1.03196289,0.717417551,40.6221193,0.080063853,0.020842233,0.48006835,0.080063853,0.051394923,0.017310924,0.141180668,0.64192417,5.916855128,1.746976965,0.635963456,1.266450917,0.850874126,7.85,18.20967742,2.746976965,0.020842233,13.05622588,9.225806452,0.128605796,5.823470159
BBB,EPR Properties,EPR,Standard & Poor's Ratings Services,11/4/2016,Consumer Services,0.707473471,-0.603518406,0.11565517,73.21504454,0.45612904,0.445219588,0.954176652,0.445219588,0.046244806,0.04674506,0.102924149,0.101385359,4.172944162,1.225636934,0.550690418,0.002518203,0.284233937,1.373171771,-3.152900712,2.225636934,0.445219588,21.38222078,4.831132358,0.620794661,0.188730607
BBB,Biogen Inc.,BIIB,Moody's Investors Service,6/15/2012,Health Care,3.259352451,2.492373114,0.563641363,42.26491661,0.244507326,0.338945941,0.907552419,0.341615376,0.136406853,0.210307722,0.192113951,0.557884522,3.212852085,0.408389294,0.289969042,0.259773471,0.854043517,6087.444048,6974.80146,1.408389294,0.338945941,0.277313186,7127.791415,0.342219499,2.503539861
BBB,Enbridge Inc,ENB,Moody's Investors Service,11/28/2016,Energy,0.630883902,0.530989225,0.126549461,52.72222222,0.059866898,0.063975694,0.30541088,0.074681713,0.024281473,0.052164247,0.096745534,0.405590959,0.537614336,2.957355279,0.742245537,0.064224333,-0.009606148,-0.057629389,1.800342111,3.984335547,0.109982639,12.46231102,5.999219389,0.150607639,3.236483754
AA,General Electric Company,GE,Fitch Ratings,10/5/2016,Energy,2.169258241,1.720751991,0.994321944,71.04476405,0.0692521,0.073003323,0.292740899,0.076754546,0.023456733,0.028635577,0.112966187,0.33871511,2.448493606,3.815938703,0.792356161,0.051384275,30.50409836,-0.853163686,7.071068317,4.815938703,0.073003323,23.29545511,-0.027968822,-0.001972626,6.060478005
A,Rayonier Inc.,RYN,Egan-Jones Ratings Company,8/5/2014,Consumer Services,1.061192463,0.918683973,0.799784161,14.5257083,0.164595764,0.074300646,0.198271477,0.162859287,0.040494229,0.019919924,0.066737657,0.246022302,89.99716672,0.648078228,0.393232686,-0.21410731,0.609255498,1.525066957,1.277555338,1.648078228,0.074300646,16.25548949,2.503164867,0.52450039,23.94042848
BBB,W.R. Berkley Corporation,WRB,Moody's Investors Service,3/10/2016,Finance,4.632152864,4.632152864,0.217834613,6.23813616,0.069894818,0.101579736,0.492639726,0.101579736,0.023178628,0.040165345,0.10949284,0.331621552,20.69488892,3.723870636,0.78830919,0.311357458,0.927877327,6.592550278,129.9182307,4.723870636,0.101579736,4.415803418,7.104980459,0.12229366,16.26801986
BBB,ManpowerGroup,MAN,Standard & Poor's Ratings Services,4/16/2013,Technology,1.37621016,1.312710758,0.176248232,73.76607989,0.00955605,0.017816036,0.166457104,0.019910049,0.028177851,0.11045152,0.079014715,2.948692354,111.8939394,1.804142674,0.643384765,0.463626493,0.782870929,3.265408805,8.152201258,2.804142674,0.017816036,8.27510738,4.171069182,0.016036367,127.6740741
B,Atlantic Power Corporation,AT,Moody's Investors Service,6/15/2012,Energy,3.287216686,3.190424725,0.315145437,219.5301533,-0.271318951,-0.33468583,0.28447344,-0.33468583,-0.010971772,-0.01438658,-0.032029541,0.040438649,0.094623894,1.916547593,0.656516523,0.189332424,-4.488098078,-1.214519918,6.906281465,2.919267871,-0.33468583,64.33947164,0.270609041,0.159581919,5.186679174
